"Country","Year","Cancer site","ICD10 code","RouteToDiagnosis","Stage","Count","% of known routes","% of all routes"
"England","2020","All Cancers Combined","C00-C43, C45-C97","Screening","Stage I",7085,0.606073567151411,0.547484738428251
"England","2020","All Cancers Combined","C00-C43, C45-C97","Screening","Stage II",2970,0.254063301967494,0.229503129588131
"England","2020","All Cancers Combined","C00-C43, C45-C97","Screening","Stage III",1309,0.111976047904192,0.101151379336991
"England","2020","All Cancers Combined","C00-C43, C45-C97","Screening","Stage IV",326,0.0278870829769033,0.0251912526079901
"England","2020","All Cancers Combined","C00-C43, C45-C97","Screening","Unknown",1251,NA,0.0966695000386369
"England","2020","All Cancers Combined","C00-C43, C45-C97","Two Week Wait","Stage I",31008,0.316092071194112,0.27589643206691
"England","2020","All Cancers Combined","C00-C43, C45-C97","Two Week Wait","Stage II",24222,0.246916348957165,0.215517394786013
"England","2020","All Cancers Combined","C00-C43, C45-C97","Two Week Wait","Stage III",21940,0.223653897123285,0.195213097250645
"England","2020","All Cancers Combined","C00-C43, C45-C97","Two Week Wait","Stage IV",20928,0.213337682725438,0.186208737432156
"England","2020","All Cancers Combined","C00-C43, C45-C97","Two Week Wait","Unknown",14292,NA,0.127164338464276
"England","2020","All Cancers Combined","C00-C43, C45-C97","GP Referral","Stage I",15855,0.396751914318603,0.279107840721051
"England","2020","All Cancers Combined","C00-C43, C45-C97","GP Referral","Stage II",7091,0.177443571392823,0.12482836320107
"England","2020","All Cancers Combined","C00-C43, C45-C97","GP Referral","Stage III",7728,0.193383714528802,0.13604196739781
"England","2020","All Cancers Combined","C00-C43, C45-C97","GP Referral","Stage IV",9288,0.232420799759772,0.163503855226561
"England","2020","All Cancers Combined","C00-C43, C45-C97","GP Referral","Unknown",16844,NA,0.296517973453508
"England","2020","All Cancers Combined","C00-C43, C45-C97","Emergency Presentation","Stage I",5293,0.13293984679141,0.0813944547817128
"England","2020","All Cancers Combined","C00-C43, C45-C97","Emergency Presentation","Stage II",4467,0.112193896772573,0.0686924295314398
"England","2020","All Cancers Combined","C00-C43, C45-C97","Emergency Presentation","Stage III",7526,0.189024237096572,0.115732980670163
"England","2020","All Cancers Combined","C00-C43, C45-C97","Emergency Presentation","Stage IV",22529,0.565842019339445,0.346445432038014
"England","2020","All Cancers Combined","C00-C43, C45-C97","Emergency Presentation","Unknown",25214,NA,0.387734702978671
"England","2020","All Cancers Combined","C00-C43, C45-C97","Other","Stage I",9699,0.353294721888318,0.233227528495167
"England","2020","All Cancers Combined","C00-C43, C45-C97","Other","Stage II",4441,0.16176738425673,0.106790746885971
"England","2020","All Cancers Combined","C00-C43, C45-C97","Other","Stage III",5406,0.196918369577095,0.129995671620257
"England","2020","All Cancers Combined","C00-C43, C45-C97","Other","Stage IV",7907,0.288019524277857,0.190136103496369
"England","2020","All Cancers Combined","C00-C43, C45-C97","Other","Unknown",14133,NA,0.339849949502236
"England","2020","Bladder","C67, D09.0, D41.4","Two Week Wait","Stage I",1480,0.486042692939245,0.331541218637993
"England","2020","Bladder","C67, D09.0, D41.4","Two Week Wait","Stage II",886,0.290968801313629,0.198476702508961
"England","2020","Bladder","C67, D09.0, D41.4","Two Week Wait","Stage III",456,0.149753694581281,0.102150537634409
"England","2020","Bladder","C67, D09.0, D41.4","Two Week Wait","Stage IV",223,0.0732348111658457,0.0499551971326165
"England","2020","Bladder","C67, D09.0, D41.4","Two Week Wait","Unknown",1419,NA,0.317876344086022
"England","2020","Bladder","C67, D09.0, D41.4","GP Referral","Stage I",796,0.477791116446579,0.1217125382263
"England","2020","Bladder","C67, D09.0, D41.4","GP Referral","Stage II",461,0.276710684273709,0.0704892966360856
"England","2020","Bladder","C67, D09.0, D41.4","GP Referral","Stage III",245,0.147058823529412,0.0374617737003058
"England","2020","Bladder","C67, D09.0, D41.4","GP Referral","Stage IV",164,0.0984393757503001,0.0250764525993884
"England","2020","Bladder","C67, D09.0, D41.4","GP Referral","Unknown",4874,NA,0.745259938837921
"England","2020","Bladder","C67, D09.0, D41.4","Emergency Presentation","Stage I",231,0.205882352941176,0.0931076178960097
"England","2020","Bladder","C67, D09.0, D41.4","Emergency Presentation","Stage II",306,0.272727272727273,0.123337363966143
"England","2020","Bladder","C67, D09.0, D41.4","Emergency Presentation","Stage III",214,0.190730837789661,0.0862555421201129
"England","2020","Bladder","C67, D09.0, D41.4","Emergency Presentation","Stage IV",371,0.33065953654189,0.149536477226925
"England","2020","Bladder","C67, D09.0, D41.4","Emergency Presentation","Unknown",1359,NA,0.54776299879081
"England","2020","Bladder","C67, D09.0, D41.4","Other","Stage I",407,0.466743119266055,0.133355176933159
"England","2020","Bladder","C67, D09.0, D41.4","Other","Stage II",240,0.275229357798165,0.0786369593709043
"England","2020","Bladder","C67, D09.0, D41.4","Other","Stage III",115,0.131880733944954,0.0376802096985583
"England","2020","Bladder","C67, D09.0, D41.4","Other","Stage IV",110,0.126146788990826,0.0360419397116645
"England","2020","Bladder","C67, D09.0, D41.4","Other","Unknown",2180,NA,0.714285714285714
"England","2020","Bowel","C18-C20","Screening","Stage I",1366,0.396747022945106,0.367698519515478
"England","2020","Bowel","C18-C20","Screening","Stage II",862,0.250363055474877,0.232032301480485
"England","2020","Bowel","C18-C20","Screening","Stage III",968,0.281150159744409,0.260565275908479
"England","2020","Bowel","C18-C20","Screening","Stage IV",247,0.0717397618356085,0.0664872139973082
"England","2020","Bowel","C18-C20","Screening","Unknown",272,NA,0.0732166890982503
"England","2020","Bowel","C18-C20","Two Week Wait","Stage I",1864,0.156520278780754,0.148089298482561
"England","2020","Bowel","C18-C20","Two Week Wait","Stage II",3238,0.271895205306911,0.257249543179471
"England","2020","Bowel","C18-C20","Two Week Wait","Stage III",4148,0.348308002351163,0.329546357352824
"England","2020","Bowel","C18-C20","Two Week Wait","Stage IV",2659,0.223276513561172,0.211249702073568
"England","2020","Bowel","C18-C20","Two Week Wait","Unknown",678,NA,0.0538650989115754
"England","2020","Bowel","C18-C20","GP Referral","Stage I",1105,0.240531127557684,0.197674418604651
"England","2020","Bowel","C18-C20","GP Referral","Stage II",1067,0.232259468872442,0.19087656529517
"England","2020","Bowel","C18-C20","GP Referral","Stage III",1310,0.285154549412277,0.234347048300537
"England","2020","Bowel","C18-C20","GP Referral","Stage IV",1112,0.242054854157597,0.198926654740608
"England","2020","Bowel","C18-C20","GP Referral","Unknown",996,NA,0.178175313059034
"England","2020","Bowel","C18-C20","Emergency Presentation","Stage I",375,0.0572431689818348,0.0446056857380754
"England","2020","Bowel","C18-C20","Emergency Presentation","Stage II",1501,0.229125324377958,0.178541691447603
"England","2020","Bowel","C18-C20","Emergency Presentation","Stage III",1826,0.278736070828881,0.217199952420602
"England","2020","Bowel","C18-C20","Emergency Presentation","Stage IV",2849,0.434895435811327,0.338884263114072
"England","2020","Bowel","C18-C20","Emergency Presentation","Unknown",1856,NA,0.220768407279648
"England","2020","Bowel","C18-C20","Other","Stage I",652,0.205743136636163,0.158985613265057
"England","2020","Bowel","C18-C20","Other","Stage II",805,0.254023351214894,0.196293586930017
"England","2020","Bowel","C18-C20","Other","Stage III",896,0.282739034395708,0.218483296756889
"England","2020","Bowel","C18-C20","Other","Stage IV",816,0.257494477753234,0.198975859546452
"England","2020","Bowel","C18-C20","Other","Unknown",932,NA,0.227261643501585
"England","2020","Breast","C50","Screening","Stage I",5147,0.678665611814346,0.610050965983169
"England","2020","Breast","C50","Screening","Stage II",2071,0.273074894514768,0.245466398008771
"England","2020","Breast","C50","Screening","Stage III",297,0.0391613924050633,0.0352020860495437
"England","2020","Breast","C50","Screening","Stage IV",69,0.00909810126582278,0.00817826241555055
"England","2020","Breast","C50","Screening","Unknown",853,NA,0.101102287542966
"England","2020","Breast","C50","Two Week Wait","Stage I",6436,0.300874199429667,0.267687060682943
"England","2020","Breast","C50","Two Week Wait","Stage II",10935,0.511196297508298,0.454810131847107
"England","2020","Breast","C50","Two Week Wait","Stage III",2916,0.136319012668879,0.121282701825895
"England","2020","Breast","C50","Two Week Wait","Stage IV",1104,0.051610490393156,0.0459177307324377
"England","2020","Breast","C50","Two Week Wait","Unknown",2652,NA,0.110302374911617
"England","2020","Breast","C50","GP Referral","Stage I",945,0.368277474668745,0.27085124677558
"England","2020","Breast","C50","GP Referral","Stage II",1108,0.431800467653936,0.317569504155919
"England","2020","Breast","C50","GP Referral","Stage III",242,0.0943102104442712,0.0693608483806248
"England","2020","Breast","C50","GP Referral","Stage IV",271,0.105611847233048,0.0776726855832617
"England","2020","Breast","C50","GP Referral","Unknown",923,NA,0.264545715104614
"England","2020","Breast","C50","Emergency Presentation","Stage I",294,0.212274368231047,0.152410575427683
"England","2020","Breast","C50","Emergency Presentation","Stage II",314,0.226714801444043,0.162778641783307
"England","2020","Breast","C50","Emergency Presentation","Stage III",139,0.100361010830325,0.0720580611715915
"England","2020","Breast","C50","Emergency Presentation","Stage IV",638,0.460649819494585,0.330741316744427
"England","2020","Breast","C50","Emergency Presentation","Unknown",544,NA,0.282011404872991
"England","2020","Breast","C50","Other","Stage I",683,0.466530054644809,0.297993019197208
"England","2020","Breast","C50","Other","Stage II",509,0.347677595628415,0.222076788830716
"England","2020","Breast","C50","Other","Stage III",120,0.0819672131147541,0.0523560209424084
"England","2020","Breast","C50","Other","Stage IV",152,0.103825136612022,0.0663176265270506
"England","2020","Breast","C50","Other","Unknown",828,NA,0.361256544502618
"England","2020","Cervical","C53","Screening","Stage I",570,0.872894333843798,0.732647814910026
"England","2020","Cervical","C53","Screening","Stage II",34,0.0520673813169985,0.0437017994858612
"England","2020","Cervical","C53","Screening","Stage III",39,0.0597243491577335,0.0501285347043702
"England","2020","Cervical","C53","Screening","Stage IV",10,0.0153139356814701,0.012853470437018
"England","2020","Cervical","C53","Screening","Unknown",125,NA,0.160668380462725
"England","2020","Cervical","C53","Two Week Wait","Stage I",107,0.217038539553753,0.173983739837398
"England","2020","Cervical","C53","Two Week Wait","Stage II",127,0.257606490872211,0.20650406504065
"England","2020","Cervical","C53","Two Week Wait","Stage III",165,0.334685598377282,0.268292682926829
"England","2020","Cervical","C53","Two Week Wait","Stage IV",94,0.190669371196755,0.152845528455285
"England","2020","Cervical","C53","Two Week Wait","Unknown",122,NA,0.198373983739837
"England","2020","Cervical","C53","GP Referral","Stage I",208,0.587570621468927,0.45119305856833
